ISO3_code,date,NCU_to_USD,source
PNG,29/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,31/10/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/11/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
